Stock Name,Time Frame,Zone,Entry Price,Stop Loss,Legout Date,Validation Issue,Zone Perfection,Entry Date,Status,Diff,Qty,Tgt,Yahoo Symbol,Last Close Price,Highligh,Diff %
COLPAL,2 HR,SZ,2995.0,3010.0,2024-11-29,All Ok Zone,Perfect Zone,,,-15.0,-3.333333333333333,2935.0,COLPAL.NS,2176.4,,-27.33
COROMANDEL,2 HR,DZ,981.5,974.5,2023-07-31,All Ok Zone,Perfect Zone,,,7.0,7.142857142857143,1009.5,COROMANDEL.NS,2312.5,,135.61
CUMMINSIND,2 HR,SZ,3851.9,3902.2,2024-10-03,Candle behind Legin & Not gud pattern,Not Perfect,,,-50.29999999999973,-0.9940357852882757,3650.700000000001,CUMMINSIND.NS,3786.9,Red,-1.69
CUMMINSIND,2 HR,DZ,2034.0,2025.9,2024-01-19,"Minor Legin TR Issue , Legout Cover",Perfect Zone,,,8.099999999999909,6.172839506172909,2066.4,CUMMINSIND.NS,3786.9,,86.18
DIVISLAB,2 HR,SZ,6972.0,7012.5,2025-07-10,All OK Zone,Perfect Zone,,,-40.5,-1.234567901234568,6810.0,DIVISLAB.NS,6159.5,,-11.65
DRREDDY,2 HR,DZ,1018.7,1015.15,2023-07-17,Love at First sight missing,Doubt Zone,,,3.550000000000068,14.08450704225325,1032.9,DRREDDY.NS,1260.6,,23.75
DRREDDY,1 HR,DZ,911.2,908.9,2023-06-02,Legout Formation,Doubt Zone,,,2.300000000000068,21.73913043478196,920.4000000000003,DRREDDY.NS,1260.6,,38.35
EICHERMOT,1 HR,DZ,2855.5,2834.0,2023-03-29,All Ok Zone,Perfect Zone,,,21.5,2.325581395348837,2941.5,EICHERMOT.NS,5738.5,,100.96
FEDERALBNK,1 HR,DZ,180.6,179.8,2025-03-19,30 m MTF not ok,Doubt Zone,,,0.799999999999983,62.50000000000134,183.7999999999999,FEDERALBNK.NS,195.9,,8.47
FEDERALBNK,2 HR,DZ,122.5,121.45,2023-06-30,Not a Gud Zone,Not Perfect,,,1.049999999999997,47.61904761904775,126.7,FEDERALBNK.NS,195.9,,59.92
GAIL,2 HR,DZ,141.1,138.25,2023-12-22,"MTF Not Ok , Legout also not gud",Not Perfect,,,2.849999999999994,17.54385964912284,152.5,GAIL.NS,173.5,,22.96
GAIL,2 HR,DZ,115.55,114.6,2023-09-01,Legout cover ,Perfect Zone,,,0.9500000000000028,52.63157894736826,119.35,GAIL.NS,173.5,,50.15
GAIL,1 HR,SZ,192.3,193.4,2025-07-09,to check UOC Form & 2 hr nt gud,Doubt Zone,,,-1.099999999999994,-45.45454545454569,187.9,GAIL.NS,173.5,,-9.78
GODREJCP,2 HR,DZ,1057.5,1047.55,2025-03-18,Minor Legin TR Issue,Doubt Zone,,,9.950000000000045,5.025125628140681,1097.3,GODREJCP.NS,1195.5,,13.05
GODREJPROP,2 HR,DZ,1669.4,1657.2,2023-11-02,All Ok Zone,Perfect Zone,,,12.20000000000005,4.098360655737689,1718.2,GODREJPROP.NS,1957.7,,17.27
HAL,2 HR,SZ,5306.65,5335.2,2024-07-18,All Ok Zone,Perfect Zone,,,-28.55000000000018,-1.751313485113824,5192.449999999999,HAL.NS,4491.8,,-15.36
HAVELLS,2 HR,DZ,1103.0,1096.3,2023-01-03,"Candle Behind legin , Love at First sight missing",Not Perfect,,,6.700000000000045,7.462686567164129,1129.8,HAVELLS.NS,1475.3,,33.75
HDFCAMC,2 HR,DZ,3247.0,3223.1,2024-01-04,"Legout cover , Candle behind legin",Not Perfect,,,23.90000000000009,2.092050209205013,3342.6,HDFCAMC.NS,5462.5,,68.23
HDFCAMC,2 HR,DZ,1766.0,1755.9,2023-05-26,Not a Gud Zone,Not Perfect,,,10.09999999999991,4.950495049504995,1806.4,HDFCAMC.NS,5462.5,,209.31
HDFCAMC,2 HR,DZ,5007.0,4986.0,2025-07-08,Legout wick > Body,Not Perfect,,,21.0,2.380952380952381,5091.0,HDFCAMC.NS,5462.5,,9.1
HDFCLIFE,2 HR,DZ,466.0,463.0,2023-03-21,All Ok Zone,Perfect Zone,,,3.0,16.66666666666667,478.0,HDFCLIFE.NS,788.3,,69.16
HEROMOTOCO,2 HR,DZ,3178.2,3164.9,2023-11-16,All Ok Zone,Perfect Zone,,,13.29999999999973,3.759398496240679,3231.399999999999,HEROMOTOCO.NS,4759.4,,49.75
HINDPETRO,2 HR,DZ,316.0,314.0,2025-03-05,Legout cover ,Perfect Zone,,,2.0,25.0,324.0,HINDPETRO.NS,398.0,,25.95
HINDUNILVR,2 HR,DZ,2342.6,2337.1,2025-07-07,All OK Zone,Perfect Zone,,,5.5,9.090909090909092,2364.6,HINDUNILVR.NS,2500.0,,6.72
ICICIBANK,2 HR,DZ,1217.0,1207.0,2025-03-11,Love at First sight missing,Perfect Zone,,,10.0,5.0,1257.0,ICICIBANK.NS,1428.8,,17.4
INDHOTEL,2 HR,DZ,579.0,574.05,2024-07-22,Legin Formation Issue,Doubt Zone,,,4.950000000000045,10.10101010101001,598.8000000000002,INDHOTEL.NS,764.6,,32.06
INDHOTEL,2 HR,DZ,354.0,351.9,2023-05-16,All Ok Zone,Perfect Zone,,,2.100000000000023,23.80952380952355,362.4000000000001,INDHOTEL.NS,764.6,,115.99
INDHOTEL,2 HR,DZ,622.6,619.0,2024-07-22,Legin TR Issue,Perfect Zone,,,3.600000000000023,13.8888888888888,637.0000000000001,INDHOTEL.NS,764.6,,22.81
INDHOTEL,2 HR,DZ,727.8,723.9,2025-07-15,All OK Zone,Perfect Zone,,,3.899999999999977,12.8205128205129,743.3999999999999,INDHOTEL.NS,764.6,Green,5.06
INDUSINDBK,2 HR,DZ,694.5,685.0,2025-04-15,Love at First sight missing,Perfect Zone,,,9.5,5.263157894736842,732.5,INDUSINDBK.NS,777.15,,11.9
